Gene,F303_0ppm,F306_2ppm,F318_0ppm,F320_2ppm,F325_0ppm,F328_0ppm,F332_0ppm,F336_2ppm,F341_2ppm,F342_2ppm
__alignment_not_unique,14615863,10704452,15169646,13679448,16573261,15037394,15997721,13808621,11273203,11186106
__ambiguous,40561,31585,42039,40788,42831,42003,43174,39231,30873,34759
__no_feature,24440452,18587531,23510176,22505756,23746405,23870931,24008695,21912107,17973447,18454942
__not_aligned,0,0,0,0,0,0,0,0,0,0
__too_low_aQual,0,0,0,0,0,0,0,0,0,0
0610005C13Rik,5,10,0,0,0,0,0,0,0,0
0610007N19Rik,224,119,220,153,242,184,239,131,100,106
0610007P14Rik,1700,1241,1517,1594,1694,1637,1705,1790,1426,1304
0610008F07Rik,126,82,122,98,181,136,141,104,63,75
0610009B14Rik,11,2,5,8,5,1,2,0,0,1
0610009B22Rik,1565,1013,1625,1331,1644,1607,1890,1303,1052,1091
0610009D07Rik,697,370,467,444,425,305,345,307,183,176
0610009L18Rik,42,31,39,36,37,25,35,23,17,22
0610009O20Rik,94,55,36,56,38,30,15,30,9,15
0610010B08Rik,0,0,0,0,0,0,0,0,0,0
0610010F05Rik,641,496,344,488,312,296,319,287,182,206
0610010K14Rik,783,544,908,753,895,881,979,743,661,635
0610011F06Rik,108,84,52,46,22,26,30,40,4,14
0610012G03Rik,1045,748,1354,889,1409,1284,1316,1016,756,933
0610012H03Rik,1,4,6,5,6,3,4,4,0,4
0610030E20Rik,254,162,174,193,107,105,115,114,88,74
0610031J06Rik,585,408,250,383,227,242,181,223,124,126
0610031O16Rik,0,0,0,0,0,0,0,0,0,0
0610037L13Rik,545,380,447,368,466,439,467,359,239,278
0610038B21Rik,153,77,94,90,83,104,90,106,69,79
0610038L08Rik,85,92,108,93,94,125,109,99,86,92
0610039K10Rik,126,105,75,78,70,62,58,86,53,59
0610040B10Rik,28,11,40,16,19,41,33,21,19,20
0610040F04Rik,591,375,750,512,775,747,772,588,450,455
0610040J01Rik,446,363,727,547,706,592,688,573,481,505
0610043K17Rik,2,3,1,5,0,1,0,0,0,0
1100001G20Rik,8,4,13,3,13,13,10,6,3,7
1110001A16Rik,227,178,246,157,183,187,191,181,133,150
1110001J03Rik,336,186,344,275,368,301,345,213,165,186
1110002L01Rik,49,37,24,24,17,14,10,11,6,6
1110004E09Rik,1723,1146,1710,1537,2016,1819,2009,1646,1305,1403
1110004F10Rik,713,507,412,484,323,306,290,300,104,153
1110006O24Rik,38,31,38,44,41,46,35,32,30,31
1110007C09Rik,134,74,85,87,96,74,65,46,38,37
1110008F13Rik,2186,1528,2208,1682,2220,1908,2100,1661,1282,1349
1110008J03Rik,238,170,259,198,249,222,269,229,177,220
1110008L16Rik,688,517,779,716,788,765,834,667,556,565
1110008P14Rik,93,54,69,55,85,66,93,52,52,52
1110012L19Rik,1039,749,1328,966,1316,1282,1387,994,906,813
1110015O18Rik,0,1,0,0,0,0,0,0,0,0
1110017D15Rik,0,0,0,0,0,0,0,0,0,0
1110018G07Rik,2016,1699,2103,2205,2001,2094,1954,1982,1892,1797
1110019D14Rik,118,97,107,78,96,79,118,73,87,75
1110020A21Rik,370,202,407,317,439,445,467,272,230,266
1110025L11Rik,0,0,0,0,0,0,0,0,0,0
1110028F11Rik,5,0,1,0,5,0,3,1,3,1
1110028F18Rik,5,3,3,3,11,9,5,4,2,2
1110032A03Rik,108,110,103,102,85,89,112,78,70,55
1110032F04Rik,75,88,78,375,12,53,40,46,1,42
1110034G24Rik,69,43,66,42,56,55,50,32,20,22
1110035M17Rik,4,5,2,12,14,3,4,3,8,3
1110036E04Rik,0,0,1,0,0,0,0,0,0,0
1110037F02Rik,2797,2326,3277,3320,2930,3654,3243,2882,2745,2896
1110038B12Rik,29,34,7,6,5,9,6,9,1,1
1110038F14Rik,412,293,339,289,336,319,326,337,193,208
1110046J04Rik,31,21,11,12,18,7,2,1,0,2
1110051M20Rik,178,116,103,136,137,105,114,100,59,78
1110054M08Rik,66,50,67,62,74,73,54,45,43,31
1110057K04Rik,267,210,163,189,205,132,162,149,84,131
1110058L19Rik,856,663,939,777,1130,812,1031,783,740,615
1110059E24Rik,1162,768,1101,895,1140,1011,1147,947,675,786
1110059G10Rik,946,683,1016,944,1154,1171,1193,1081,853,863
1110059M19Rik,93,60,111,139,131,99,135,90,93,110
1110065P20Rik,215,191,217,154,253,162,174,144,116,108
1190002F15Rik,36,16,12,31,7,9,11,4,3,3
1190002N15Rik,9230,7924,7259,7120,6874,8008,7893,7894,6407,6735
1190003J15Rik,0,0,0,0,0,0,0,0,0,0
1190003K10Rik,4,4,8,10,6,3,8,7,10,10
1190005I06Rik,710,501,877,612,1014,939,953,718,610,580
1190007I07Rik,175,109,204,152,188,164,218,142,106,115
1200011I18Rik,635,475,611,597,535,638,610,607,513,515
1200014J11Rik,758,595,727,627,564,628,687,632,478,507
1300002E11Rik,565,399,626,489,646,616,697,532,368,394
1300002K09Rik,786,614,866,813,883,920,973,844,811,748
1300015D01Rik,2,0,0,0,0,0,0,0,0,0
1300017J02Rik,5,5,6,7,8,5,6,10,2,3
1300018J18Rik,352,285,206,230,156,127,160,185,112,126
1500002O10Rik,2,0,1,0,1,3,3,1,2,2
1500004A13Rik,21,18,17,16,18,10,22,11,19,18
1500009C09Rik,2,0,0,2,2,2,3,3,5,2
1500009L16Rik,19,10,3,7,1,14,13,3,1,4
1500011B03Rik,669,457,759,712,797,756,871,665,582,594
1500011K16Rik,183,85,97,104,130,91,109,67,47,62
1500012F01Rik,68,47,38,42,34,41,33,25,14,15
1500012K07Rik,3,1,0,0,0,0,0,0,0,0
1500015A07Rik,119,100,98,125,130,98,110,116,105,91
1500015L24Rik,0,0,0,0,0,0,0,0,0,0
1500015O10Rik,0,0,0,1,0,0,0,0,0,0
1500016L03Rik,1,0,0,0,0,0,0,1,0,0
1500017E21Rik,407,252,462,472,355,586,528,532,492,460
1500032L24Rik,467,227,377,372,446,360,378,275,185,228
1600002D24Rik,252,159,351,261,363,279,286,252,210,229
1600002H07Rik,223,179,254,208,266,213,273,239,170,183
1600002K03Rik,26,25,11,12,22,19,11,10,7,18
1600010M07Rik,0,0,0,0,0,0,0,0,0,0
1600012H06Rik,382,314,117,234,103,115,94,59,15,41
1600014C10Rik,88,104,26,44,27,27,34,27,19,5
1600014C23Rik,4,3,1,1,6,3,2,0,1,0
1600014K23Rik,0,0,0,0,0,0,1,0,1,0
1600015I10Rik,0,0,0,0,0,0,0,0,0,0
1600016N20Rik,21,22,25,13,21,28,16,19,14,21
1600019K03Rik,0,0,0,0,0,0,0,0,0,0
1600020E01Rik,83,75,37,49,32,30,26,27,9,19
1600023N17Rik,1,5,2,0,0,0,0,0,0,0
1600025M17Rik,0,0,0,0,0,0,0,0,0,0
1600029D21Rik,126,1,0,1,5,25,0,2,0,0
1600029I14Rik,0,0,0,1,0,0,0,0,0,0
1600029O15Rik,3,0,1,1,0,0,0,0,1,0
1700001C02Rik,11,0,4,8,2,0,1,2,0,0
1700001C19Rik,0,0,0,1,0,0,2,0,1,0
1700001D01Rik,0,0,0,0,0,0,0,0,0,0
1700001F09Rik,0,0,0,0,2,0,0,0,0,2
1700001G11Rik,37,30,31,32,26,17,38,30,23,35
1700001G17Rik,2,2,1,0,4,4,1,6,2,0
1700001J03Rik,0,0,0,0,0,0,1,0,0,0
1700001J11Rik,4,3,0,0,4,2,1,2,1,2
1700001K19Rik,5,3,0,0,0,1,0,0,0,0
1700001K23Rik,1,0,1,0,0,0,0,0,0,0
1700001L05Rik,389,362,515,489,441,483,400,354,490,432
1700001L19Rik,28,18,18,22,30,24,29,21,30,18
1700001O22Rik,4,0,0,1,2,0,0,0,1,1
1700001P01Rik,0,3,2,0,0,0,0,1,0,2
1700003C15Rik,0,0,0,0,0,0,0,0,0,0
1700003D09Rik,10,7,3,2,4,2,2,1,1,0
1700003E16Rik,2,1,2,1,2,0,0,1,0,0
1700003F12Rik,2,0,0,0,0,0,0,0,0,0
1700003F17Rik,23,0,0,1,1,4,0,0,0,1
1700003G13Rik,0,0,0,0,0,0,0,0,0,0
1700003G18Rik,0,0,0,0,3,1,0,1,1,0
1700003H04Rik,0,0,0,0,0,0,0,0,0,0
1700003L19Rik,0,0,1,0,0,0,2,0,0,0
1700003M02Rik,36,30,56,38,58,54,55,44,30,27
1700003M07Rik,0,0,0,0,0,0,0,0,0,0
1700003P14Rik,3,0,3,0,0,2,8,4,2,2
1700006A11Rik,2,2,0,2,0,0,0,0,0,0
1700006E09Rik,0,0,0,0,0,0,0,0,0,0
1700006F04Rik,0,0,0,0,0,0,0,0,0,0
1700006H21Rik,0,1,2,1,1,1,2,0,0,0
1700007B14Rik,2,7,2,4,2,4,6,1,1,0
1700007F19Rik,2,0,0,0,0,0,0,0,0,0
1700007G11Rik,0,3,1,4,1,1,1,5,0,0
1700007J10Rik,25,7,25,23,43,42,33,31,23,23
1700007K09Rik,0,0,0,0,1,0,0,0,0,0
1700007K13Rik,26,10,9,17,23,10,11,3,0,8
1700007L15Rik,24,18,26,13,27,18,34,17,11,11
1700007P06Rik,0,0,0,0,0,0,0,0,0,0
1700008A04Rik,0,0,0,0,0,0,0,0,0,0
1700008F21Rik,2,0,2,0,1,0,1,0,2,2
1700008I05Rik,22,1,4,4,3,9,4,0,0,4
1700008J07Rik,62,48,45,53,40,46,36,34,31,34
1700008K24Rik,0,1,0,0,0,0,0,0,0,0
1700008O03Rik,1,0,2,0,0,1,2,0,0,1
1700008P02Rik,0,0,0,0,0,0,0,0,0,0
1700009C05Rik,0,0,0,0,0,0,0,0,0,0
1700009J07Rik,0,0,2,1,0,0,0,0,0,0
1700009N14Rik,1,0,1,0,0,1,0,0,0,0
1700009P17Rik,16,22,11,9,2,3,2,0,2,1
1700010B08Rik,3,0,1,0,1,2,0,1,0,0
1700010D01Rik,66,66,96,51,99,72,74,80,43,57
1700010I02Rik,0,0,0,0,0,0,0,0,0,0
1700010I14Rik,234,170,278,232,275,234,299,299,203,207
1700010J16Rik,0,1,3,0,1,0,0,0,0,1
1700010K23Rik,0,0,0,3,0,0,1,0,0,0
1700011A15Rik,66,39,87,66,123,129,122,91,73,77
1700011B04Rik,4,0,2,5,3,3,4,2,2,2
1700011E24Rik,0,0,1,0,0,0,0,0,0,2
1700011H14Rik,4,0,1,8,3,13,5,6,2,2
1700011I03Rik,0,0,0,0,0,1,0,0,0,0
1700011J10Rik,182,109,153,108,128,129,162,106,76,73
1700011L22Rik,0,0,0,1,0,0,0,0,0,0
1700011M02Rik,0,0,0,0,0,0,0,0,0,0
1700012A03Rik,25,8,20,11,23,18,22,24,15,12
1700012B07Rik,2,0,0,2,1,0,0,0,0,0
1700012B09Rik,1,2,5,5,8,8,6,4,1,4
1700012B15Rik,170,160,193,208,183,201,189,156,151,168
1700012D01Rik,7,3,4,5,3,2,0,5,1,1
1700012D14Rik,13,3,11,16,14,9,15,8,6,8
1700012I11Rik,8,6,11,7,8,13,6,5,2,7
1700012L04Rik,1,0,0,0,0,0,0,0,0,0
1700012P22Rik,0,0,0,0,0,0,0,0,0,0
1700013D24Rik,1,0,0,0,1,2,0,1,0,2
1700013F07Rik,0,0,1,0,0,0,0,0,0,0
1700013G23Rik,5,1,3,2,2,0,1,5,0,0
1700013G24Rik,1,0,0,0,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,0,0,0,0,0
1700015E13Rik,3,8,2,1,1,1,0,0,0,2
1700015F17Rik,1,0,1,0,2,0,1,0,0,0
1700015G11Rik,13,6,17,15,33,10,13,9,7,7
1700016C15Rik,2,0,5,0,2,1,1,1,0,0
1700016D06Rik,0,0,0,0,0,0,0,0,0,0
1700016G22Rik,0,0,0,1,0,0,0,0,0,0
1700016H13Rik,31,22,28,27,43,36,47,33,13,25
1700016K19Rik,33,17,21,12,22,21,26,11,13,28
1700016L04Rik,0,0,0,0,0,0,0,0,0,0
1700016L21Rik,0,0,0,0,0,0,0,0,0,0
1700016P04Rik,4,0,2,0,0,0,0,1,0,0
1700017B05Rik,1326,1028,1452,1258,1461,1494,1312,1366,1469,1103
1700017D01Rik,0,2,1,0,1,0,4,1,0,0
1700017G19Rik,0,0,0,0,0,0,0,0,0,0
1700017J07Rik,0,0,0,0,0,0,0,0,0,0
1700017N19Rik,1,0,0,0,0,0,0,0,0,0
1700018A04Rik,0,0,0,0,0,0,0,0,0,0
1700018B08Rik,157,107,168,140,178,171,196,126,122,119
1700018B24Rik,797,464,1055,757,1201,969,1228,724,537,616
1700018C11Rik,0,0,0,1,0,0,0,0,0,0
1700018F24Rik,0,0,0,0,0,0,0,0,0,0
1700018G05Rik,1,0,0,0,0,0,0,0,0,0
1700018L02Rik,32,20,10,29,13,11,18,10,12,3
1700019A02Rik,1,0,0,0,0,0,0,0,1,0
1700019B03Rik,35,40,37,52,74,70,75,53,38,36
1700019B21Rik,0,1,2,1,1,1,1,0,0,0
1700019D03Rik,74,69,102,62,73,96,85,79,69,63
1700019E08Rik,0,0,0,0,0,1,0,1,0,0
1700019G17Rik,63,59,45,77,45,31,26,24,7,19
1700019G24Rik,0,0,0,0,0,0,0,0,0,1
1700019L03Rik,7,6,7,5,6,10,5,4,2,1
1700019M22Rik,1,0,0,0,0,1,0,0,0,0
1700019N19Rik,1,0,0,0,0,0,0,0,0,0
1700019O17Rik,0,0,0,0,0,0,0,0,0,0
1700020A23Rik,4,0,0,0,0,0,0,0,0,0
1700020D05Rik,0,0,0,1,1,1,0,0,0,0
1700020G17Rik,0,0,1,1,0,2,0,0,0,0
1700020I14Rik,356,225,186,297,220,232,199,191,142,142
1700020L24Rik,0,0,0,0,0,0,0,0,0,0
1700020M21Rik,0,0,1,0,0,0,0,0,0,0
1700020N01Rik,2,0,3,4,0,4,1,0,1,1
1700020N15Rik,0,0,0,0,0,0,0,0,0,0
1700020N18Rik,0,0,0,0,0,0,0,0,0,0
1700021F05Rik,353,282,336,286,295,304,308,247,171,209
1700021F07Rik,63,49,85,60,136,92,128,91,64,61
1700021K19Rik,10846,9042,13014,12609,13164,14822,13627,12744,11464,12593
1700021N21Rik,0,1,0,0,0,0,0,0,0,0
1700022A21Rik,2,0,0,0,0,1,0,0,1,0
1700022A22Rik,0,0,0,0,1,0,0,0,0,0
1700022E09Rik,3,0,2,3,0,1,3,2,0,1
1700022H16Rik,0,1,0,0,0,0,0,0,0,0
1700022I11Rik,0,0,0,0,0,0,0,0,0,0
1700022P22Rik,4,0,2,1,0,3,2,0,0,0
1700023A16Rik,49,28,44,41,66,46,53,36,43,38
1700023C21Rik,0,0,0,0,0,0,0,0,0,0
1700023E05Rik,92,72,96,81,125,100,132,115,72,54
1700023F02Rik,4,1,1,3,0,1,1,1,0,3
1700023F06Rik,1,0,0,0,0,0,1,1,0,0
1700023L04Rik,140,83,136,119,140,115,167,127,91,102
1700024B18Rik,0,0,0,0,0,0,0,0,0,0
1700024F13Rik,1,1,5,0,2,1,1,3,1,8
1700024G13Rik,0,0,0,0,0,0,0,0,0,0
1700024P03Rik,0,0,0,1,0,0,0,0,0,0
1700024P04Rik,0,0,0,0,0,0,0,0,0,0
1700024P16Rik,846,658,996,838,974,1086,1071,1033,917,844
1700025B11Rik,0,0,0,0,0,0,0,2,0,0
1700025C18Rik,0,0,2,0,0,2,0,0,0,0
1700025E21Rik,22,11,20,15,24,11,15,17,22,11
1700025F22Rik,6,4,5,5,10,4,8,2,2,8
1700025F24Rik,18,17,19,17,22,15,21,6,12,18
1700025G04Rik,453,398,440,421,405,389,473,355,323,322
1700025K24Rik,0,0,1,0,0,0,0,0,0,0
1700025M24Rik,6,0,8,0,1,2,3,2,0,0
1700025N23Rik,2,1,0,1,0,0,0,0,1,0
1700026D08Rik,11,3,0,1,2,1,1,2,0,1
1700026D11Rik,0,0,0,0,0,1,0,0,0,0
1700026F02Rik,1,1,0,0,0,0,0,0,0,0
1700026L06Rik,3,3,5,0,2,2,1,2,0,0
1700027A15Rik,2,0,0,1,0,4,0,0,0,0
1700027F09Rik,0,0,0,0,0,1,0,0,0,2
1700027H10Rik,0,0,0,1,0,0,0,2,0,0
1700027I24Rik,2,0,0,0,0,0,0,0,0,0
1700027J07Rik,0,0,0,0,0,0,0,0,0,0
1700028B04Rik,0,0,0,0,0,0,0,0,0,0
1700028D13Rik,12,6,8,15,16,23,19,13,13,7
1700028E10Rik,22,16,13,20,26,28,19,22,13,22
1700028I16Rik,85,68,107,102,108,95,103,115,61,93
1700028J19Rik,82,88,100,100,106,95,135,118,93,98
1700028K03Rik,768,456,881,642,989,907,1038,697,543,632
1700028M03Rik,0,0,0,0,0,0,0,0,0,0
1700028P14Rik,12,17,10,15,19,16,9,12,16,2
1700028P15Rik,0,0,0,0,1,0,0,1,0,0
1700029B22Rik,1,0,0,0,0,0,0,0,0,0
1700029F12Rik,41,27,50,49,45,41,47,38,36,47
1700029H14Rik,2,0,2,0,0,2,0,0,0,1
1700029I15Rik,5,9,1,0,1,3,1,2,0,2
1700029J03Rik,0,0,0,0,0,0,0,0,0,0
1700029J07Rik,106,119,86,76,100,101,77,86,72,66
1700029M20Rik,0,0,0,0,0,0,0,0,0,0
1700029N11Rik,0,0,0,1,0,0,0,0,0,0
1700029P11Rik,26,42,38,43,60,46,57,44,35,40
1700030A11Rik,9,13,14,10,30,19,20,21,9,10
1700030C10Rik,124,114,107,103,116,132,119,91,94,91
1700030F04Rik,0,2,0,0,1,0,0,0,0,0
1700030F18Rik,46,52,57,54,70,67,67,46,38,64
1700030J22Rik,524,377,670,547,728,719,660,656,575,534
1700030K09Rik,836,736,966,867,1077,942,1073,906,785,770
1700030L20Rik,0,2,0,0,0,0,0,0,0,0
1700030M09Rik,0,0,0,0,0,0,0,0,0,0
1700030N03Rik,13,5,13,10,7,17,16,10,11,6
1700030O20Rik,15,8,16,7,22,26,32,7,10,6
1700031A10Rik,7,1,2,0,1,2,1,3,4,6
1700031F05Rik,0,0,0,0,0,0,0,0,0,0
1700031M16Rik,5,1,5,2,10,4,2,3,6,4
1700031P21Rik,0,0,0,0,0,0,0,0,0,0
1700034E13Rik,0,0,0,0,0,1,0,0,0,0
1700034F02Rik,11,7,17,8,13,9,16,12,13,9
1700034G24Rik,0,0,0,0,0,0,0,0,0,0
1700034H15Rik,53,36,58,76,63,61,59,41,50,32
1700034I23Rik,2,0,0,0,0,0,0,0,0,0
1700034J05Rik,2,1,1,0,0,0,0,0,0,0
1700034K08Rik,46,47,67,55,77,81,67,62,58,39
1700034O15Rik,0,0,0,2,0,1,0,0,0,0
1700034P13Rik,376,326,416,368,449,479,406,386,378,401
1700036G14Rik,0,0,0,0,0,0,0,0,0,0
1700037C18Rik,17,16,7,24,4,2,7,7,2,0
1700037H04Rik,231,154,100,113,90,91,73,73,48,52
1700039E15Rik,45,36,63,52,88,74,77,61,52,55
1700039E22Rik,0,0,0,0,0,0,0,0,0,0
1700040L02Rik,20,8,2,18,3,6,3,2,1,0
1700040N02Rik,7,9,14,12,19,22,22,7,6,14
1700041C23Rik,0,0,0,1,0,0,0,0,0,0
1700041M19Rik,0,0,0,0,0,0,0,0,0,0
1700042B14Rik,358,188,413,367,426,401,474,304,337,330
1700042G07Rik,0,0,0,0,0,1,0,0,0,0
1700042G15Rik,0,0,0,0,0,2,0,0,0,1
1700042O10Rik,0,0,1,0,0,0,0,0,0,0
1700044C05Rik,2,0,0,0,0,2,2,0,1,1
1700044K03Rik,0,0,0,0,0,0,0,0,0,0
1700045H11Rik,5,1,2,0,1,1,0,1,0,0
1700045I19Rik,11,8,18,12,34,26,18,18,22,26
1700046C09Rik,0,0,0,0,0,0,1,0,0,0
1700047E10Rik,3,3,7,1,6,6,3,4,2,1
1700047G03Rik,3,0,1,0,3,0,1,2,0,1
1700047I17Rik2,0,0,0,0,0,0,0,0,0,0
1700047L14Rik,0,0,0,0,0,1,0,0,0,0
1700047M11Rik,21,6,22,12,22,17,20,13,4,15
1700048M11Rik,8,6,20,6,23,15,11,9,13,11
1700048O20Rik,48,29,47,41,68,37,43,44,30,27
1700049E15Rik,2,0,2,4,2,4,3,0,6,1
1700049E22Rik,1,0,0,0,0,0,0,0,0,0
1700049G17Rik,63,70,12,33,34,34,24,24,10,11
1700049L16Rik,0,0,0,0,0,0,0,0,0,0
1700051A21Rik,0,0,0,0,0,0,0,0,0,0
1700052I22Rik,0,0,0,0,0,0,0,0,0,0
1700052K11Rik,45,41,18,23,17,17,9,11,9,6
1700052N19Rik,142,95,53,70,64,49,63,45,25,19
1700054A03Rik,1,0,0,0,0,0,0,0,0,0
1700054K19Rik,0,0,0,0,0,0,0,0,0,0
1700054M17Rik,0,0,1,0,0,2,0,1,0,0
1700054O13Rik,0,0,0,0,0,0,0,0,0,0
1700055C04Rik,0,0,0,1,0,0,0,0,0,0
1700055N04Rik,0,0,0,0,0,0,0,0,0,0
1700056E22Rik,65,61,97,60,92,98,87,83,66,72
1700057G04Rik,0,0,0,1,0,0,0,0,0,0
1700057H15Rik,0,0,0,0,0,0,0,0,0,0
1700058G18Rik,3,0,2,2,1,0,0,2,0,0
1700060C16Rik,0,0,1,0,0,0,0,0,0,0
1700060C20Rik,1,0,2,0,0,0,0,0,0,1
1700061F12Rik,38,12,50,47,68,40,62,36,39,38
1700061G19Rik,5,4,7,12,16,9,11,7,9,6
1700061I17Rik,0,0,0,3,1,0,3,1,4,3
1700063A18Rik,0,0,0,0,0,0,0,0,0,0
1700063D05Rik,0,1,1,1,0,0,0,0,0,0
1700063O14Rik,0,0,3,0,1,0,2,0,0,0
1700064J06Rik,0,0,0,0,0,0,0,0,0,0
1700064M15Rik,0,0,3,1,4,0,0,2,1,2
1700065D16Rik,17,23,16,18,14,12,9,9,13,16
1700065I16Rik,2,0,1,1,2,1,6,1,0,1
1700065I17Rik,2,0,0,3,1,0,1,0,0,0
1700065J11Rik,0,0,0,0,0,0,0,0,0,0
1700065J18Rik,0,0,0,0,0,0,0,0,0,0
1700065O20Rik,1,2,0,0,1,0,0,0,0,0
1700066B17Rik,0,2,0,0,0,0,0,1,0,0
1700066B19Rik,3,0,0,0,2,0,1,1,0,0
1700066J24Rik,0,0,1,0,0,1,1,0,0,1
1700066M21Rik,1407,1219,1664,1525,1512,1727,1856,1822,1419,1326
1700066N21Rik,0,0,0,0,0,0,0,0,0,0
1700066O22Rik,0,0,1,1,0,0,0,1,0,1
1700067G17Rik,0,0,0,4,0,0,1,0,0,0
1700067K01Rik,930,870,1248,864,1352,1070,1140,1096,848,885
1700067P10Rik,0,0,1,0,0,1,0,0,0,0
1700069L16Rik,3,3,5,5,6,1,6,7,3,1
1700069P05Rik,0,0,0,0,0,0,0,0,0,0
1700071K01Rik,0,0,0,0,0,0,0,0,0,0
1700071M16Rik,2,5,0,0,1,0,0,0,0,0
1700072B07Rik,0,0,0,0,0,0,0,0,0,0
1700072O05Rik,0,0,0,0,0,0,0,0,0,0
1700073E17Rik,0,0,0,0,0,0,0,0,0,0
1700074H08Rik,0,0,0,0,2,0,0,0,0,0
1700074P13Rik,1,0,0,0,0,0,0,0,0,0
1700080E11Rik,0,0,0,0,0,0,0,0,0,1
1700080N15Rik,0,0,0,1,0,0,0,0,0,0
1700080O16Rik,1,1,6,1,1,3,8,1,5,5
1700081H04Rik,0,0,0,0,0,0,0,0,0,0
1700081H22Rik,0,0,0,0,0,0,0,0,0,0
1700084C01Rik,0,0,0,0,0,0,0,0,0,0
1700084E18Rik,1,1,0,3,1,1,0,1,2,0
1700084F23Rik,26,27,49,27,60,53,51,29,40,38
1700084J12Rik,0,1,2,0,0,1,0,3,0,0
1700085B03Rik,1,0,1,0,0,1,1,0,0,0
1700085C21Rik,0,0,0,0,0,0,0,1,0,0
1700086L19Rik,4,0,1,3,2,2,3,2,4,4
1700086O06Rik,57,37,43,47,59,37,35,46,28,30
1700088E04Rik,25,25,14,11,10,13,10,7,3,2
1700091E21Rik,0,0,0,0,0,0,0,0,0,0
1700091H14Rik,0,0,1,0,0,0,0,0,0,0
1700092C02Rik,1,0,0,0,0,1,0,1,0,0
1700092C10Rik,0,0,0,0,0,0,0,0,0,0
1700092E19Rik,0,0,0,0,0,0,0,0,0,0
1700092K14Rik,3,0,1,0,0,1,1,0,0,0
1700092M07Rik,9,5,8,11,16,12,14,16,9,10
1700093K21Rik,93,73,83,98,104,99,111,77,66,71
1700094D03Rik,31,21,25,12,13,20,25,8,8,7
1700094J05Rik,546,474,679,634,585,802,655,521,628,646
1700094M24Rik,0,0,0,0,0,0,0,0,0,0
1700095A21Rik,0,0,0,0,0,0,0,0,0,0
1700095B10Rik,0,0,0,0,0,0,0,0,0,0
1700095B22Rik,1,0,1,2,0,1,0,0,0,0
1700096J18Rik,0,1,0,0,0,0,0,0,0,0
1700096K18Rik,38,13,22,21,39,25,35,22,16,13
1700097N02Rik,85,38,84,84,134,127,139,91,86,111
1700100L14Rik,2,0,0,0,0,1,0,1,2,1
1700101E01Rik,5,6,7,2,2,5,7,9,2,2
1700101I11Rik,6,10,3,6,1,5,9,5,2,0
1700101O22Rik,0,0,1,0,2,0,1,0,0,1
1700102H20Rik,6,11,3,6,5,3,4,7,3,3
1700102P08Rik,3,3,1,7,2,6,7,1,6,1
1700104A03Rik,0,0,0,0,0,0,0,0,0,0
1700105P06Rik,9,7,2,2,3,2,2,1,1,3
1700106J16Rik,0,0,0,0,0,0,0,0,0,0
1700108F19Rik,1,0,1,1,2,0,0,0,1,0
1700108J01Rik,0,0,0,0,0,0,0,0,0,0
1700109F18Rik,8,5,3,0,0,1,1,0,0,0
1700109G14Rik,1,0,0,0,0,2,2,0,0,0
1700109G15Rik,0,0,0,0,2,0,4,1,0,0
1700109H08Rik,134,87,114,123,133,157,170,125,89,118
1700109I08Rik,0,0,0,0,0,0,0,0,0,0
1700110C19Rik,1,4,0,1,2,0,0,0,0,0
1700110I01Rik,0,0,0,0,0,0,0,0,0,0
1700110K17Rik,11,15,6,11,7,10,7,2,0,3
1700110M21Rik,0,1,4,1,7,4,4,1,4,2
1700111N16Rik,5,3,6,4,5,5,5,2,1,0
1700112E06Rik,61,40,69,58,90,61,65,34,25,22
1700112H15Rik,49,43,67,37,45,37,46,44,47,28
1700112J05Rik,0,2,0,0,0,0,0,0,0,0
1700113A16Rik,51,28,37,29,51,38,30,15,18,21
1700113H08Rik,0,0,0,0,0,0,0,0,0,0
1700119H24Rik,1,0,0,1,0,0,2,0,0,0
1700120C14Rik,85,40,61,64,65,60,65,79,45,58
1700120E14Rik,0,0,0,0,1,0,1,0,0,0
1700120G07Rik,2,0,0,0,0,0,2,0,0,0
1700120K04Rik,2,2,1,6,2,2,3,2,4,0
1700121L16Rik,0,0,0,0,0,0,0,0,0,0
1700121N20Rik,0,0,0,0,0,0,0,0,0,0
1700122O11Rik,3,0,0,0,0,0,0,0,0,0
1700123I01Rik,10,8,14,24,14,5,4,17,14,20
1700123K08Rik,0,0,0,0,0,0,0,0,0,0
1700123L14Rik,0,0,0,0,0,1,0,0,0,0
1700123M08Rik,28,5,13,14,18,23,25,14,14,11
1700123O12Rik,0,0,0,1,1,0,0,0,0,0
1700123O20Rik,255,169,86,145,81,61,51,51,22,30
1700123O21Rik,1,0,3,0,0,0,2,1,0,0
1700125G02Rik,0,0,0,0,0,0,0,0,0,0
1700125G22Rik,5,2,4,9,5,7,12,2,6,2
1700125H03Rik,0,0,0,0,0,0,0,0,0,0
1700125H20Rik,1,1,2,1,1,3,3,0,2,1
1700126H18Rik,1,0,0,1,0,1,1,0,0,0
1700128A07Rik,1,0,2,0,1,0,0,1,0,0
1700128F08Rik,0,0,0,3,0,1,0,0,0,0
1700129C05Rik,0,1,0,0,0,0,0,0,0,0
1810006J02Rik,0,0,0,3,0,0,0,0,0,0
1810007C17Rik,5,3,16,6,13,8,17,11,6,6
